,title,link,id,stars,score,date
511,Machi Koro (NL),https://www.youtube.com/watch?v=y4EuI0tO-io,y4EuI0tO-io,4.0,8.0,2014-11-16
512,Legendary - Dark City / Fantastic 4 / Paint the Town Red (NL),https://www.youtube.com/watch?v=6QibQKwdmks,6QibQKwdmks,,8.0,2014-07-06
513,Mage Knight - The Lost Legion (NL),https://www.youtube.com/watch?v=lCN3OBAV864,lCN3OBAV864,,8.0,2014-05-18
514,Qwixx (NL),https://www.youtube.com/watch?v=f6ItbZNeRNE,f6ItbZNeRNE,,8.0,2014-05-05
515,Istanbul (NL),https://www.youtube.com/watch?v=sx9Sd9NT6HY,sx9Sd9NT6HY,,8.0,2014-04-25
516,Battlelore (NL),https://www.youtube.com/watch?v=XmI1ttBsLUE,XmI1ttBsLUE,,8.0,2014-04-23
517,Earth Reborn (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=4fMveXD3Mzc,4fMveXD3Mzc,,8.0,2014-04-22
518,Pathfinder - The Adventure Card Game (NL),https://www.youtube.com/watch?v=Sl_3VpMncNQ,Sl_3VpMncNQ,,8.0,2014-04-21
519,Rozenoorlog (NL),https://www.youtube.com/watch?v=9xvvmmhIAG8,9xvvmmhIAG8,,8.0,2014-04-21
520,Hammer of the Scots (NL),https://www.youtube.com/watch?v=AvgkSdzULjQ,AvgkSdzULjQ,,8.0,2014-04-20
521,Rampage (NL),https://www.youtube.com/watch?v=fhdEngFmH0U,fhdEngFmH0U,,8.0,2014-04-15
522,Dungeon Command (NL),https://www.youtube.com/watch?v=Tl18h9nkLXw,Tl18h9nkLXw,,8.0,2014-04-15
523,Nations (NL),https://www.youtube.com/watch?v=tI-uHzjS0bs,tI-uHzjS0bs,,8.0,2014-04-14
524,Shogun (NL),https://www.youtube.com/watch?v=SG4CaXy64cM,SG4CaXy64cM,,8.0,2014-04-06
525,Legendary (NL),https://www.youtube.com/watch?v=XJKP0_V_u5g,XJKP0_V_u5g,,8.0,2014-03-20
526,Ticket to Ride - Nederland (NL),https://www.youtube.com/watch?v=wCBF_-I9uG8,wCBF_-I9uG8,,8.0,2014-02-27
527,Kings of Air & Steam (NL),https://www.youtube.com/watch?v=8pPbrzTF6jk,8pPbrzTF6jk,,8.0,2014-02-14
528,Through the Ages (NL),https://www.youtube.com/watch?v=J79dGMSjCeg,J79dGMSjCeg,,8.0,2014-02-07
529,Splendor (NL) - Samen met de Rode Pion,https://www.youtube.com/watch?v=S60bcUn--gM,S60bcUn--gM,,8.0,2014-02-06
530,Robinson Crusoe: Adventure on the Cursed Island (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=qYr1Vv9t5lk,qYr1Vv9t5lk,,8.0,2013-11-20
531,Ora et Labora (NL),https://www.youtube.com/watch?v=GT3n6aAYmww,GT3n6aAYmww,,8.0,2013-11-04
532,BancoBanco (NL),https://www.youtube.com/watch?v=Z83UbENvZ1g,Z83UbENvZ1g,,8.0,2013-09-23
533,Kwatro (NL),https://www.youtube.com/watch?v=DsouRYaOEL4,DsouRYaOEL4,,8.0,2013-09-13
534,Winter Tales (NL),https://www.youtube.com/watch?v=EZq3Cd9Gb-w,EZq3Cd9Gb-w,,8.0,2013-09-12
535,Tzolk'In  De Kalender van de Maya's (NL),https://www.youtube.com/watch?v=vhdjRE6j_XA,vhdjRE6j_XA,,8.0,2013-04-28
536,Mage Knight (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=W9nkEa-vnvI,W9nkEa-vnvI,,8.0,2013-04-14
537,Sid Meier's  Civilization (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=jkktvumIzG8,jkktvumIzG8,,8.0,2013-04-10
538,Eclipse (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=DSS7dHwPGD8,DSS7dHwPGD8,,8.0,2013-04-06
539,Quest for the Princess (NL),https://www.youtube.com/watch?v=uFx2ptkFNIo,uFx2ptkFNIo,,8.0,2013-04-02
540,Takenoko (NL),https://www.youtube.com/watch?v=h0bDxCbR9Pw,h0bDxCbR9Pw,,8.0,2013-01-15
541,Gosu - Kamakor (NL),https://www.youtube.com/watch?v=rVKKkkWErgE,rVKKkkWErgE,,8.0,2013-01-07
542,Galaxy Trucker (NL),https://www.youtube.com/watch?v=ZBk-gbBT6Fc,ZBk-gbBT6Fc,,8.0,2012-12-19
543,Coco Colecto (NL),https://www.youtube.com/watch?v=_hvBy-rWkI8,_hvBy-rWkI8,,8.0,2012-12-16
544,Muisgeflipt (NL),https://www.youtube.com/watch?v=6sTQoWhOS7Q,6sTQoWhOS7Q,,8.0,2012-11-29
545,Colosseum (NL),https://www.youtube.com/watch?v=1O8Pbc7yRzU,1O8Pbc7yRzU,,8.0,2012-10-01
546,Het Piratenspel (NL),https://www.youtube.com/watch?v=Abq9b_ST1xg,Abq9b_ST1xg,,8.0,2012-09-12
547,Ninjato (NL),https://www.youtube.com/watch?v=9TZCuGRcfIk,9TZCuGRcfIk,,8.0,2012-08-01
548,Glory to Rome NL,https://www.youtube.com/watch?v=ytROagXwLLQ,ytROagXwLLQ,,8.0,2012-07-17
549,Indonesia (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=dS9Ai6jzH8M,dS9Ai6jzH8M,,8.0,2012-07-12
