title;link;id;stars;score;date
Loch Ness (NL);https://www.youtube.com/watch?v=MoOJT_2Se7g;MoOJT_2Se7g;;;19-11-2012
Claustrophobia (NL);https://www.youtube.com/watch?v=SvUrC39qIes;SvUrC39qIes;;;15-11-2012
Medieval Madness - Indiegogo (NL);https://www.youtube.com/watch?v=u959Ixjy6Q8;u959Ixjy6Q8;;;15-11-2012
Day & Night (NL);https://www.youtube.com/watch?v=0gOxu4vU8ec;0gOxu4vU8ec;;;14-11-2012
Lino (NL);https://www.youtube.com/watch?v=Xxoa8MtpORM;Xxoa8MtpORM;;;14-11-2012
Dobble (NL);https://www.youtube.com/watch?v=uisj2ovfvAE;uisj2ovfvAE;;;13-11-2012
Smash Up (NL);https://www.youtube.com/watch?v=G0kOomqR3TE;G0kOomqR3TE;;;13-11-2012
Het Spellenspektakel - Sensalot;https://www.youtube.com/watch?v=Oh8ntQHjoGE;Oh8ntQHjoGE;;;10-11-2012
Het Spellenspektakel - Rob Bouwman;https://www.youtube.com/watch?v=AqexWwnxWow;AqexWwnxWow;;;09-11-2012
Het Spellenspektakel - Olaf Pieters;https://www.youtube.com/watch?v=UqsW97N_KAU;UqsW97N_KAU;;;09-11-2012
Het Spellenspektakel - Quined Games;https://www.youtube.com/watch?v=AJPZY_1GGPA;AJPZY_1GGPA;;;09-11-2012
Het Spellenspektakel - FableSmith;https://www.youtube.com/watch?v=MpJzfApEzog;MpJzfApEzog;;;06-11-2012
Het Spellenspektakel - Opstelten Speelgoed;https://www.youtube.com/watch?v=Iq7alt-QZck;Iq7alt-QZck;;;06-11-2012
Het Spellenspektakel - Every Dog Enterprises;https://www.youtube.com/watch?v=8zwJopK7XO4;8zwJopK7XO4;;;05-11-2012
Het Spellenspektakel - 999 Games;https://www.youtube.com/watch?v=_gf1sNSTgSo;_gf1sNSTgSo;;;04-11-2012
Het Spellenspektakel - Balance Games;https://www.youtube.com/watch?v=6mkD3upHcws;6mkD3upHcws;;;01-11-2012
Het Spellenspektakel - Rielekst;https://www.youtube.com/watch?v=30R6MdqroJg;30R6MdqroJg;;;01-11-2012
Het Spellenspektakel - Giuoco;https://www.youtube.com/watch?v=Fu39CeYL4uM;Fu39CeYL4uM;;;01-11-2012
Het Spellenspektakel - Bergsala Enigma;https://www.youtube.com/watch?v=ilGEE1onX-Q;ilGEE1onX-Q;;;01-11-2012
Het Spellenspektakel - White Goblin Games;https://www.youtube.com/watch?v=Mys6RuWrcgY;Mys6RuWrcgY;;;30-10-2012
Het Spellenspektakel - Odynaut Games;https://www.youtube.com/watch?v=ILppcS-0DUQ;ILppcS-0DUQ;;;30-10-2012
Het Spellenspektakel - Identity Games;https://www.youtube.com/watch?v=7GAvdwElo5E;7GAvdwElo5E;;;29-10-2012
Het Spellenspektakel 2012 door Nox Spellenzolder;https://www.youtube.com/watch?v=4EZ481eY-34;4EZ481eY-34;;;29-10-2012
Het Spellenspektakel - The Game Master;https://www.youtube.com/watch?v=vGqxogxEtwM;vGqxogxEtwM;;;29-10-2012
De Weerwolven van Wakkerdam (NL);https://www.youtube.com/watch?v=kqtzVpY4fd4;kqtzVpY4fd4;;8;27-10-2012
Perpetual-Motion Machine (NL);https://www.youtube.com/watch?v=SuWAmYUCeCw;SuWAmYUCeCw;;;26-10-2012
Stenen Tijdperk (NL);https://www.youtube.com/watch?v=2gRN-H9YcA4;2gRN-H9YcA4;;;26-10-2012
Archaeology NL;https://www.youtube.com/watch?v=vz4WL0XRKXA;vz4WL0XRKXA;;;24-10-2012
Brug naar de Hemel (NL);https://www.youtube.com/watch?v=3qzF-1jkM6g;3qzF-1jkM6g;;;24-10-2012
Macao (NL);https://www.youtube.com/watch?v=dz5OUGk9F1c;dz5OUGk9F1c;;;24-10-2012
The Current Number of the Beast (NL);https://www.youtube.com/watch?v=4wuwnaX7quY;4wuwnaX7quY;;;24-10-2012
Call to Glory (NL);https://www.youtube.com/watch?v=tZmnQsNY1Lk;tZmnQsNY1Lk;;;23-10-2012
Coney Island NL;https://www.youtube.com/watch?v=Buhq3YqkhgE;Buhq3YqkhgE;;;23-10-2012
Rush 'n Crush (NL);https://www.youtube.com/watch?v=QWB44LCipgg;QWB44LCipgg;;;23-10-2012
Het Mysterie van de Abdij (NL);https://www.youtube.com/watch?v=r5wHsORtoK4;r5wHsORtoK4;;;11-10-2012
